project,station_id,glider_trajectory,deployment_recovery,date_utc,time_utc,lat_degrees,lat_mins,lon_degrees,lon_mins,sample,cast,niskin,collection_method,bottle_size_ml,sample_notes,depth_m,temperature_degrees_c,salinity,pH_avg_25degC,pH_stdev,TA_avg,TA_stdev,DIC_avg,DIC_stdev,pH_from_DIC_TA_total_25C,pH_diff_measured_minus_calculated,pH_flag,analysis_notes
NOAA-OAP,RU30 NOAA OA 2021 #1 Deployment,ru30-20210226T1647,deployment,2/26/21,16:00,39,20.948,-74,11.64,210226-RU01,1,1,single_niskin,,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,0,4.16,31.97,7.8036,0.0003,2187.9,1.414213562,,,,,,
NOAA-OAP,RU30 NOAA OA 2021 #1 Deployment,ru30-20210226T1647,deployment,2/26/21,16:00,39,20.948,-74,11.64,210226-RU13,1,1,single_niskin,,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,0,4.16,31.97,,,,,2024.7,1.64,,,2,**The original value was 2018.1
NOAA-OAP,RU30 NOAA OA 2021 #1 Deployment,ru30-20210226T1647,deployment,2/26/21,16:00,39,20.948,-74,11.64,210226-RU02,2,1,single_niskin,,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,0,4.16,31.97,7.8049,0.0016,2191.1,3.252691193,,,,,,
NOAA-OAP,RU30 NOAA OA 2021 #1 Deployment,ru30-20210226T1647,deployment,2/26/21,16:00,39,20.948,-74,11.64,210226-RU14,2,1,single_niskin,,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,0,4.16,31.97,,,,,2027.4,1.41,,,2,
NOAA-OAP,RU30 NOAA OA 2021 #1 Recovery,ru30-20210226T1647,recovery,3/21/21,14:20,39,20,-74,10,210321-RU03,1,1,single_niskin,,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,0,4.97,31.72,7.8103,0.0003,2176.35,1.060660172,,,,,,
NOAA-OAP,RU30 NOAA OA 2021 #1 Recovery,ru30-20210226T1647,recovery,3/21/21,14:20,39,20,-74,10,210321-RU15,1,1,single_niskin,,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,0,4.97,31.72,,,,,2018.1,0.55,,,2,**The original value was 2024.7
NOAA-OAP,RU30 NOAA OA 2021 #1 Recovery,ru30-20210226T1647,recovery,3/21/21,14:20,39,20,-74,10,210321-RU04,2,1,single_niskin,,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,0,4.97,31.72,7.8095,0.005,2176.75,0.494974747,,,,,,
NOAA-OAP,RU30 NOAA OA 2021 #1 Recovery,ru30-20210226T1647,recovery,3/21/21,14:20,39,20,-74,10,210321-RU16,2,1,single_niskin,,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,0,4.97,31.72,,,,,2016.5,0.22,,,2,
NOAA-OAP,RU30 NOAA OA 2021 #2 Deployment,ru30-20210503T1929,deployment,5/3/21,19:34,39,26.09,-74,14.763,210503-RU05,1,1,single_niskin,,surface,0,13.21,31.69,7.8032,0.0026,2161.3,1.6,,,,,,
NOAA-OAP,RU30 NOAA OA 2021 #2 Deployment,ru30-20210503T1929,deployment,5/3/21,19:34,39,26.09,-74,14.763,210503-RU17,1,1,single_niskin,,surface,0,13.21,31.69,,,,,2140.3,2.1,,,2,
