time,latitude,longitude,project,station_id,glider_trajectory,deployment_recovery,cast,niskin,depth,temperature,salinity,pH,pH_stdev,TA,TA_stdev,DIC,DIC_stdev
2021-02-26 16:00:00,39.349133333333334,-74.194,NOAA-OAP,RU30 NOAA OA 2021 #1 Deployment,ru30-20210226T1647,deployment,1,1,0.0,4.16,31.97,7.8036,0.0003,2187.9,1.414213562,2024.7,1.64
2021-02-26 16:00:00,39.349133333333334,-74.194,NOAA-OAP,RU30 NOAA OA 2021 #1 Deployment,ru30-20210226T1647,deployment,2,1,0.0,4.16,31.97,7.8049,0.0016,2191.1,3.252691193,2027.4,1.41
2021-03-21 14:20:00,39.333333333333336,-74.16666666666667,NOAA-OAP,RU30 NOAA OA 2021 #1 Recovery,ru30-20210226T1647,recovery,1,1,0.0,4.97,31.72,7.8103,0.0003,2176.35,1.060660172,2018.1,0.55
2021-03-21 14:20:00,39.333333333333336,-74.16666666666667,NOAA-OAP,RU30 NOAA OA 2021 #1 Recovery,ru30-20210226T1647,recovery,2,1,0.0,4.97,31.72,7.8095,0.005,2176.75,0.494974747,2016.5,0.22
2021-05-03 19:34:00,39.43483333333333,-74.24605,NOAA-OAP,RU30 NOAA OA 2021 #2 Deployment,ru30-20210503T1929,deployment,1,1,0.0,13.21,31.69,7.8032,0.0026,2161.3,1.6,2140.3,2.1
2021-05-03 19:41:00,39.43483333333333,-74.24605,NOAA-OAP,RU30 NOAA OA 2021 #2 Deployment,ru30-20210503T1929,deployment,2,1,14.4,10.44,32.08,7.7368,0.0068,2191.1,2.4,2040.5,1.6
2021-05-03 19:45:00,39.43483333333333,-74.24605,NOAA-OAP,RU30 NOAA OA 2021 #2 Deployment,ru30-20210503T1929,deployment,3,1,0.0,13.21,31.69,7.7959,0.0035,2159.3,2.5,1949.8,0.8
2021-05-03 19:50:00,39.43483333333333,-74.24605,NOAA-OAP,RU30 NOAA OA 2021 #2 Deployment,ru30-20210503T1929,deployment,4,1,13.2,10.44,32.08,7.7424,0.0068,2180.5,3.0,2001.2,1.7
2021-05-27 14:10:00,39.450716666666665,-74.20966666666666,NOAA-OAP,RU30 NOAA OA 2021 #2 Recovery,ru30-20210503T1929,recovery,1,6,0.869,15.833,32.061,7.7103,0.0031,2210.0,1.8,1993.2,1.8
2021-05-27 14:10:00,39.450716666666665,-74.20966666666666,NOAA-OAP,RU30 NOAA OA 2021 #2 Recovery,ru30-20210503T1929,recovery,1,5,2.645,15.622,32.106,7.7161,0.0075,2208.9,0.5,2031.1,1.1
2021-05-27 14:10:00,39.450716666666665,-74.20966666666666,NOAA-OAP,RU30 NOAA OA 2021 #2 Recovery,ru30-20210503T1929,recovery,1,4,6.236,13.715,32.34,7.7136,0.0051,2204.6,5.8,1982.0,0.7
2021-05-27 14:10:00,39.450716666666665,-74.20966666666666,NOAA-OAP,RU30 NOAA OA 2021 #2 Recovery,ru30-20210503T1929,recovery,1,3,9.714,12.238,32.458,7.7559,0.0147,2231.2,8.0,2002.5,1.5
2021-05-27 14:10:00,39.450716666666665,-74.20966666666666,NOAA-OAP,RU30 NOAA OA 2021 #2 Recovery,ru30-20210503T1929,recovery,1,2,12.132,11.508,32.541,7.7538,0.0048,2186.9,1.1,1966.0,2.1
