glider_trajectory,acoustics_configuration,deployment_recovery,tow_number,season,date_utc,time_utc_start,time_utc_end,lat_degrees_start,lat_mins_start,lat_degrees_end,lat_mins_end,lon_degrees_start,lon_mins_start,lon_degrees_end,lon_mins_end,sample_notes,water_column_depth,net_depth,volume_filtered,taxa,taxa_group,count,concentration,temp_min,temp_max,sal_min,sal_max
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Acartia hudsonica,Copepod (small),4096,228.0954278,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Pseudocalanus sp.,Copepod (small),2048,114.0477139,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Ctenophore fragment,Gelatinous Zooplankton,1024,57.02385695,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Pteropod,Pteropod,1024,57.02385695,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Oikopleura sp.,Gelatinous Zooplankton,1024,57.02385695,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Paracalanus sp.,Copepod (small),52224,2908.216704,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Centropages sp.,Copepod (small),57344,3193.335989,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Chaetognath,Chaetognath,16,0.890997765,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Hydrozoan,Other,3,0.167062081,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Decapod,Decapod,1,0.05568736,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,1,Winter,2/15/2024,,,40,12.93,40,12.804,-73,52.386,73,52.438,,,,17.95739634,Hyperiid amphipod,Other,18,1.002372485,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Paracalanus sp.,Copepod (small),24064,662.5390552,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Centropages sp.,Copepod (small),29184,803.5048117,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Pteropod,Pteropod,1024,28.19315129,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Calanus finmarchicus,Copepod (large),512,14.09657564,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Hyperiid amphipod,Other,36,0.991165475,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Fish larva,Other,2,0.055064749,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Chaetognath,Chaetognath,7,0.19272662,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Subeucalanus pileatus,Copepod (small),3,0.082597123,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,deployment,2,Winter,2/15/2024,,,40,12.81,40,12.871,-73,52.432,-73,52.35,,,,36.3208777,Tomopteris sp.,Polychaete,1,0.027532374,5.42,6.33,23.3,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Paracalanus sp.,Copepod (small),217088,13364.68876,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Centropages sp.,Copepod (small),149504,9203.983768,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Pseudocalanus sp.,Copepod (small),8192,504.3278777,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Pteropod,Pteropod,8192,504.3278777,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Calanus finmarchicus,Copepod (large),16384,1008.655755,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Hyperiid amphipod,Other,5,0.307817308,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Medusa,Other,5,0.307817308,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Fish larva,Other,2,0.123126923,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,1,Winter,3/14/2024,,,39,10.065,,,-74,9.827,,,,,,16.24340109,Chaetognath,Chaetognath,68,4.186315391,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,2,Winter,3/14/2024,,,39,10.031,,,-74,9.925,,,,,,11.43894058,Chaetognath,Chaetognath,1024,89.51877958,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,2,Winter,3/14/2024,,,39,10.031,,,-74,9.925,,,,,,11.43894058,Pseudocalanus sp.,Copepod (small),3072,268.5563387,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,2,Winter,3/14/2024,,,39,10.031,,,-74,9.925,,,,,,11.43894058,Pteropod,Pteropod,3072,268.5563387,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,2,Winter,3/14/2024,,,39,10.031,,,-74,9.925,,,,,,11.43894058,Calanus finmarchicus,Copepod (large),6144,537.1126775,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,2,Winter,3/14/2024,,,39,10.031,,,-74,9.925,,,,,,11.43894058,Oikopleura sp.,Gelatinous Zooplankton,1024,89.51877958,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,2,Winter,3/14/2024,,,39,10.031,,,-74,9.925,,,,,,11.43894058,Paracalanus sp.,Copepod (small),69632,6087.277012,6.94,9.42,30.1,31.5
ru39-20240215T1646,zoop,recovery,2,Winter,3/14/2024,,,39,10.031,,,-74,9.925,,,,,,11.43894058,Centropages sp.,Copepod (small),46080,4028.345081,6.94,9.42,30.1,31.5
